Budget Case,Simulation Label,Strategy Targets,Target TF_EQ,Target MR_EQ,Target MR_FX,Target Sum,Screen Exposure Factor,Screen Daily Cutoff,Raw Equity End,Raw CAGR,Raw Sharpe,Raw Calmar,Raw Max DD %,Raw WorstDayDD,Raw Count Breach -5%,Raw Avg Gross Exposure %,Raw Max Gross Exposure %,P(Pass Challenge),P(Pass Verification | Challenge),P(Reach Payout | Verification),P(Reach Payout Overall),Median Days Challenge,Median Days Verification,Median Days Payout,Fail MaxDailyLoss %,Fail MaxLoss %,Fail HorizonEnded %,Avg Cutoff Hits / Sim,Mean Total Days To Payout,Median Total Days To Payout,P25 Total Days To Payout,P75 Total Days To Payout,P90 Total Days To Payout,Budget Speed Rank Score
anchor_grid_tf1p5_mreq2_mrfx6p5,full,"{""MR_EQ"": 2.0, ""MR_FX"": 6.5, ""TF_EQ"": 1.5}",1.5,2.0,6.5,10.0,0.75,-0.04,2019676.8599230133,0.30241018358299954,1.323054358906783,1.3043243699479115,-23.185197681699098,-0.09085683141226521,22,167.27731930706673,927.5000886147266,0.8594,0.9059809169187806,0.9573593629591575,0.7454,93.0,41.0,15.0,0.0942,0.1604,0.0,0.528,197.76147035148912,175.0,124.0,249.0,333.0,0.6423163241212771
anchor_grid_tf1p75_mreq1p75_mrfx6p5,full,"{""MR_EQ"": 1.75, ""MR_FX"": 6.5, ""TF_EQ"": 1.75}",1.75,1.75,6.5,10.0,0.75,-0.04,2125042.114811478,0.3071501712777045,1.305335357263418,1.3632011018505024,-22.531537779771295,-0.10260802622911261,25,176.85727309762015,934.2393655396269,0.8648,0.9019426456984274,0.9417948717948718,0.7346,88.0,39.0,15.0,0.0832,0.1822,0.0,0.5958,191.47508848352845,168.0,118.0,241.0,327.0,0.6359542787911788
anchor_grid_tf1p75_mreq2_mrfx6p25,full,"{""MR_EQ"": 2.0, ""MR_FX"": 6.25, ""TF_EQ"": 1.75}",1.75,2.0,6.25,10.0,0.75,-0.04,2370533.7403193307,0.3173984384654065,1.2929387521515854,1.3246272376273507,-23.961340175514213,-0.10216876721666766,31,178.02179029338484,925.5969187944837,0.8578,0.8934483562602005,0.9436325678496869,0.7232,84.0,38.0,15.0,0.088,0.1888,0.0,0.6176,184.0141039823009,160.5,115.0,231.0,310.0,0.6153887400442477
anchor_grid_tf1p5_mreq1p75_mrfx6p75,full,"{""MR_EQ"": 1.75, ""MR_FX"": 6.75, ""TF_EQ"": 1.5}",1.5,1.75,6.75,10.0,0.75,-0.04,1810031.8334193656,0.2922536266592073,1.341334165010372,1.3442568080648198,-21.740907310704493,-0.09129023891624508,18,166.11335122744882,936.124854008944,0.8628,0.8980064904960593,0.9545689210118741,0.7396,97.0,43.0,15.0,0.1062,0.1542,0.0,0.6098,204.8042184964846,179.0,127.0,256.0,347.0,0.5944914537587885
anchor_grid_tf1p125_mreq2_mrfx6p875,full,"{""MR_EQ"": 2.0, ""MR_FX"": 6.875, ""TF_EQ"": 1.125}",1.125,2.0,6.875,10.0,0.75,-0.04,1569898.2633798916,0.2791809758532877,1.3594845028362348,1.260910899401275,-22.141213624678212,-0.08241285478486432,20,150.9356634318588,929.5915994446552,0.8554,0.9071779284545242,0.9652061855670103,0.749,105.0,48.0,15.0,0.1188,0.1322,0.0,0.5464,217.12443257676904,195.0,138.0,268.0,357.0,0.5799249185580774
aggressive_mrfx_dom_2p50_1p50_6p00,full,"{""MR_EQ"": 1.5, ""MR_FX"": 6.0, ""TF_EQ"": 2.5}",2.5,1.5,6.0,10.0,0.75,-0.04,2971128.9466480063,0.33882314671040414,1.1986741803207532,1.347700469496535,-25.14083465719793,-0.13448859203114338,48,207.25712921168883,934.9555840912873,0.8312,0.8707892204042348,0.9218016026526665,0.6672,69.0,29.0,15.0,0.067,0.2658,0.0,1.0216,157.10041966426857,136.5,94.75,201.25,272.0,0.5316329508393286
anchor_grid_tf2p5_mreq1_mrfx6p5,full,"{""MR_EQ"": 1.0, ""MR_FX"": 6.5, ""TF_EQ"": 2.5}",2.5,1.0,6.5,10.0,0.75,-0.04,2374444.6918310025,0.31755358262466826,1.1807186813941055,1.2690259424587456,-25.0234114213147,-0.13539753910536004,41,204.98803411264404,952.3511429018253,0.8372,0.8745819397993311,0.9224255667850314,0.6754,73.0,30.0,15.0,0.0718,0.2528,0.0,0.958,165.43618596387327,143.0,98.0,213.0,288.0,0.5312295350903168
anchor_grid_tf2p5_mreq1p125_mrfx6p375,full,"{""MR_EQ"": 1.125, ""MR_FX"": 6.375, ""TF_EQ"": 2.5}",2.5,1.125,6.375,10.0,0.75,-0.04,2512663.618426439,0.32288965934654756,1.1869061284974536,1.2890099830635304,-25.04943046128709,-0.1351702091427301,42,205.55069929140282,948.0012730406744,0.8366,0.8721013626583791,0.9226973684210527,0.6732,72.0,29.0,15.0,0.072,0.2548,0.0,0.9834,163.33333333333334,141.0,97.0,211.0,284.0,0.5294326666666666
anchor_grid_tf2p5_mreq1p25_mrfx6p25,full,"{""MR_EQ"": 1.25, ""MR_FX"": 6.25, ""TF_EQ"": 2.5}",2.5,1.25,6.25,10.0,0.75,-0.04,2657979.27473689,0.3282134713748912,1.1919265310523546,1.3087878356438116,-25.07766823898071,-0.13494294131502357,45,206.116405673051,943.6520568535661,0.8344,0.8688878235858102,0.9224827586206896,0.6688,71.0,29.0,15.0,0.0736,0.2576,0.0,0.9272,161.37888755980862,140.0,97.0,207.25,279.7000000000003,0.5200807811004784
anchor_grid_tf2p75_mreq1p5_mrfx5p75,full,"{""MR_EQ"": 1.5, ""MR_FX"": 5.75, ""TF_EQ"": 2.75}",2.75,1.5,5.75,10.0,0.75,-0.04,3406858.4760471834,0.3519754718529662,1.1663082304468675,1.2936937371378106,-27.20701675743461,-0.14420111269216276,69,217.55965967681448,931.5734238347413,0.834,0.8589928057553957,0.9084310441094361,0.6508,64.0,26.0,15.0,0.0566,0.2926,0.0,1.0338,146.22833435771358,126.0,88.0,186.0,254.0,0.5198911641057162
anchor_grid_tf2p75_mreq1p25_mrfx6,full,"{""MR_EQ"": 1.25, ""MR_FX"": 6.0, ""TF_EQ"": 2.75}",2.75,1.25,6.0,10.0,0.75,-0.04,3048581.403833735,0.34128663479375265,1.1580964746078346,1.2439075338934293,-27.436656302380115,-0.1446594773014744,66,216.41823118425344,940.2848882039087,0.8358,0.8600143575017947,0.9081803005008348,0.6528,66.0,26.0,15.0,0.0594,0.2878,0.0,0.974,150.1200980392157,129.0,89.0,193.0,263.7000000000003,0.5139597549019609
anchor_grid_tf2p5_mreq0p875_mrfx6p625,full,"{""MR_EQ"": 0.875, ""MR_FX"": 6.625, ""TF_EQ"": 2.5}",2.5,0.875,6.625,10.0,0.75,-0.04,2243027.257937703,0.31220552814776226,1.1733214553923192,1.2488419721098476,-24.999602441316792,-0.13562493121122357,40,204.42836450992107,956.7016667898678,0.8364,0.8725490196078431,0.9197040285009591,0.6712,73.0,30.0,15.0,0.0762,0.2526,0.0,0.9792,167.59654350417162,144.0,98.0,215.0,291.0,0.5086166412395711
anchor_grid_tf2p75_mreq1p125_mrfx6p125,full,"{""MR_EQ"": 1.125, ""MR_FX"": 6.125, ""TF_EQ"": 2.75}",2.75,1.125,6.125,10.0,0.75,-0.04,2882288.9122098684,0.3359229372646224,1.1525791237247216,1.2192222817350915,-27.552230819351987,-0.1448887532219797,66,215.85219544668524,944.6416086932469,0.8342,0.8573483577079837,0.9060402684563759,0.648,66.0,26.0,15.0,0.0624,0.2896,0.0,0.9202,152.07685185185184,130.0,89.0,196.0,267.0999999999999,0.4922058703703704
anchor_grid_tf2p5_mreq1p75_mrfx5p75,full,"{""MR_EQ"": 1.75, ""MR_FX"": 5.75, ""TF_EQ"": 2.5}",2.5,1.75,5.75,10.0,0.75,-0.04,3316445.855565469,0.3493802854989716,1.2014314740878824,1.3857159588499746,-25.212979851146933,-0.13403449118725244,53,208.41058886123335,926.2617217970121,0.8224,0.8635700389105059,0.9155167558434244,0.6502,67.0,29.0,15.0,0.0758,0.274,0.0,1.038,151.1937865272224,132.0,91.0,193.0,261.0,0.4864355336819439
anchor_grid_tf2p75_mreq1_mrfx6p25,full,"{""MR_EQ"": 1.0, ""MR_FX"": 6.25, ""TF_EQ"": 2.75}",2.75,1.0,6.25,10.0,0.75,-0.04,2724095.1196014513,0.33054677469989047,1.1460729631485944,1.1946765676567583,-27.668306523181062,-0.1451180915638223,64,215.28921613408488,948.9989885281261,0.8336,0.8591650671785028,0.9025411896118403,0.6464,68.0,26.0,15.0,0.0636,0.29,0.0,0.9354,153.2237004950495,132.0,90.0,198.0,268.0,0.4831867487623761
anchor_grid_tf2p75_mreq0p875_mrfx6p375,full,"{""MR_EQ"": 0.875, ""MR_FX"": 6.375, ""TF_EQ"": 2.75}",2.75,0.875,6.375,10.0,0.75,-0.04,2573664.3590135034,0.3251584361042352,1.1385494407103687,1.1702710741480917,-27.784881920706873,-0.14534749233508004,63,214.7292474808004,953.3570280656296,0.8326,0.8611578188806149,0.901534170153417,0.6464,68.0,27.0,15.0,0.0648,0.2888,0.0,0.9174,154.2240099009901,133.0,91.0,198.0,270.0,0.4796659752475247
